vm-aniello-storm-01,0,0,67426806,2
vm-aniello-storm-02,0,0,77182206,2
vm-aniello-storm-03,0,0,73547707,2
vm-aniello-storm-04,0,0,67339944,2
vm-aniello-storm-01,0,0,66959846,2
vm-aniello-storm-02,0,0,76875805,2
vm-aniello-storm-03,0,0,73279300,2
vm-aniello-storm-04,0,0,67350268,2
vm-aniello-storm-01,0,0,66726113,2
vm-aniello-storm-02,0,0,76740903,2
vm-aniello-storm-03,0,0,73164631,2
vm-aniello-storm-04,0,0,67240816,2
vm-aniello-storm-01,1028,979,928540606,6
vm-aniello-storm-02,947,999,1051145745,7
vm-aniello-storm-03,1057,1028,1037896479,8
vm-aniello-storm-04,1033,1086,988933354,8
vm-aniello-storm-01,1001,1015,1259480006,13
vm-aniello-storm-02,983,984,1315265705,11
vm-aniello-storm-03,970,998,1336612925,12
vm-aniello-storm-04,1066,1049,1276301261,13
vm-aniello-storm-01,981,1028,1225617374,12
vm-aniello-storm-02,1033,1006,786306903,12
vm-aniello-storm-03,1131,1026,768432418,12
vm-aniello-storm-04,1020,1066,941441866,14
vm-aniello-storm-01,936,948,701524938,18
vm-aniello-storm-02,899,958,630507926,17
vm-aniello-storm-03,1058,993,665990508,17
vm-aniello-storm-04,1047,1018,749881899,21
vm-aniello-storm-01,1946,2020,776424849,21
vm-aniello-storm-02,2001,1994,703847193,18
vm-aniello-storm-03,2055,2055,737363351,19
vm-aniello-storm-04,2276,2185,919409111,23
vm-aniello-storm-01,1931,1994,1037084234,24
vm-aniello-storm-02,1932,1936,919939768,22
vm-aniello-storm-03,2036,2014,910719224,22
vm-aniello-storm-04,2127,2072,1136315751,28
vm-aniello-storm-01,1992,2088,1240158172,29
vm-aniello-storm-02,1989,2010,1089741280,25
vm-aniello-storm-03,2207,2079,1119602147,26
vm-aniello-storm-04,2121,2167,1337731922,32
vm-aniello-storm-01,1926,1906,1219479565,30
vm-aniello-storm-02,1929,1902,1069431409,26
vm-aniello-storm-03,1762,1907,1083636950,26
vm-aniello-storm-04,2032,1990,1325144280,34
vm-aniello-storm-01,2967,3075,1362728444,35
vm-aniello-storm-02,3036,2999,1197166036,31
vm-aniello-storm-03,3049,3137,1199015536,32
vm-aniello-storm-04,3450,3347,1528993994,39
vm-aniello-storm-01,3023,2974,1554992968,35
vm-aniello-storm-02,2963,2929,1383747950,30
vm-aniello-storm-03,2937,3040,1398653516,31
vm-aniello-storm-04,3161,3147,1812312928,40
vm-aniello-storm-01,2905,3067,1740904432,36
vm-aniello-storm-02,3100,3052,1489920417,33
vm-aniello-storm-03,3139,3069,1544872128,33
vm-aniello-storm-04,3208,3185,1914884339,41
vm-aniello-storm-01,2243,2731,1702382726,33
vm-aniello-storm-02,2950,2898,1437067559,33
vm-aniello-storm-03,2398,3243,1497308131,34
vm-aniello-storm-04,4033,3653,1922561405,32
vm-aniello-storm-01,4207,4095,1937433865,30
vm-aniello-storm-02,3990,3996,1662929099,34
vm-aniello-storm-03,4191,4112,1724158489,36
vm-aniello-storm-04,4136,4178,2146856355,31
vm-aniello-storm-01,4055,4013,2154024959,32
vm-aniello-storm-02,3757,3913,1901737061,37
vm-aniello-storm-03,4181,4069,1986554284,37
vm-aniello-storm-04,4174,4194,2398370448,33
vm-aniello-storm-01,3996,3893,2170132524,32
vm-aniello-storm-02,3917,3859,1907431685,37
vm-aniello-storm-03,3917,3991,1989229562,37
vm-aniello-storm-04,4080,4125,2351635438,33
vm-aniello-storm-01,4229,4022,2105878490,35
vm-aniello-storm-02,4134,4145,1829238887,39
vm-aniello-storm-03,4276,4318,1902901266,40
vm-aniello-storm-04,4560,4561,2411421705,35
vm-aniello-storm-01,4235,4238,2178576031,35
vm-aniello-storm-02,4227,4077,1910367595,39
vm-aniello-storm-03,4191,4239,1956672832,40
vm-aniello-storm-04,4330,4366,2520438435,35
vm-aniello-storm-01,4533,4302,2211939852,37
vm-aniello-storm-02,4012,4135,2089282515,41
vm-aniello-storm-03,4252,4138,2128217696,41
vm-aniello-storm-04,4309,4302,2359125960,38
vm-aniello-storm-01,3509,3739,1861273389,35
vm-aniello-storm-02,3692,3614,2032854034,40
vm-aniello-storm-03,3219,3677,2014548447,41
vm-aniello-storm-04,4235,3714,2013647612,36
vm-aniello-storm-01,4199,4356,1695366521,37
vm-aniello-storm-02,4454,4293,2016995486,42
vm-aniello-storm-03,4509,4502,2076735140,43
vm-aniello-storm-04,4741,4804,1802468503,39
vm-aniello-storm-01,4230,4251,1728363895,39
vm-aniello-storm-02,4211,4113,2046450960,44
vm-aniello-storm-03,4354,4319,2109921404,45
vm-aniello-storm-04,4322,4429,1838875221,40
vm-aniello-storm-01,4400,4458,1848385469,40
vm-aniello-storm-02,4426,4354,2191874373,44
vm-aniello-storm-03,4465,4445,2259212033,44
vm-aniello-storm-04,4555,4579,1907066198,40
vm-aniello-storm-01,3738,3590,1778498512,44
vm-aniello-storm-02,3720,3485,2113448028,48
vm-aniello-storm-03,4242,3505,2231329132,49
vm-aniello-storm-04,3376,3483,1805640399,43
vm-aniello-storm-01,4565,4484,1799713536,42
vm-aniello-storm-02,4415,4428,2107954073,46
vm-aniello-storm-03,4638,4635,2199742056,47
